Column 1 1 2 1,CATEGORY,Column 1 2 1 3 2 1 1,Column 1 2 1 3 2 2 1,Column 1 2 1 3 2 3 1,Column 1 2 1 3 2 4 1
"""Salesforce Sales Cloud 360""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Zoom vILT for Cornerstone Learning Suite""","[""learning-development""]","""Registration Information""","""Content""","""Product Usage""",
"""Asana App for Zoom""","[""team-collaborations""]","""Registration Information""","""Content""","""Product Usage""",
"""Prodoscore""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pipedream for Zoom Admins""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Adservio""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Pexels - Virtual Backgrounds""","[""productivity""]",,,,
"""SimpleUpdates""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Polly""","[""human-resources"",""productivity"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Clio""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GitHub""","[""productivity""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Translate It!""","[""productivity""]",,,,
"""SavvyCal""","[""scheduling-calendar""]","""Product Usage""",,,
"""Freshteam""","[""human-resources""]","""Product Usage""",,,
"""GR8 People""","[""human-resources""]",,,,
"""Notejoy""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Clockwise for Admin""","[""scheduling-calendar""]","""Product Usage""",,,
"""Picktime""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Confluence""","[""productivity""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Josys""","[""analytics"",""content-and-compliance"",""productivity""]","""Product Usage""",,,
"""Smokeball""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Apptoto""","[""scheduling-calendar""]","""Product Usage""",,,
"""Xert Sessions""","[""social-activities""]","""Product Usage""",,,
"""Yobs""","[""human-resources""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Theta Lake Realtime Compliance Advisor""","[""content-and-compliance""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Managr""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Donation & Payment Buttons - PayPal & Stripe""","[""eCommerce""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Yottled""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Snipfeed""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Element451""","[""crm"",""education""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Lessonly""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GameApart""","[""games""]","""Product Usage""",,,
"""Cialfo Meetings""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""EventTitans""","[""eventmanagement""]","""Content""","""Product Usage""",,
"""Book Interpreters with KUDO""","[""education"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Lark""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Shaperon""","[""scheduling-calendar""]","""Product Usage""",,,
"""Xola""","[""scheduling-calendar""]","""Product Usage""",,,
"""Simply.Coach""","[""scheduling-calendar""]","""Product Usage""",,,
"""Motivate""","[""customer-service""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""BookFit""","[""health-care"",""social-activities""]","""Product Usage""",,,
"""eArcu Video""","[""human-resources""]","""Product Usage""",,,
"""Meeting Evolution""","[""education"",""eventmanagement""]","""Product Usage""",,,
"""hackajob Interviews""","[""human-resources""]","""Product Usage""",,,
"""ActivityRockets""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Tripwire Configuration Manager""","[""content-and-compliance""]",,,,
"""Vymo""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Booking Autopilot""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""AION Integration For Zoom""","[""scheduling-calendar""]","""Product Usage""",,,
"""Kanamic Cloud Service""","[""team-collaborations""]","""Product Usage""",,,
"""Timeless Calendar""","[""scheduling-calendar""]","""Product Usage""",,,
"""Hectic""","[""productivity""]","""Product Usage""",,,
"""BOXMAGIC""","[""health-care"",""scheduling-calendar""]","""Registration Information""","""Content""","""Product Usage""",
"""Lightstep Incident Response - Account App""","[""team-collaborations""]","""Product Usage""",,,
"""LinksUp""","[""sales-automation"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Evaluar.com""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Uptick""","[""productivity""]","""Product Usage""",,,
"""OBODO""","[""learning-development""]","""Product Usage""",,,
"""CondomobMeeting""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Riva Insight""","[""productivity""]","""Product Usage""",,,
"""Lightstep Incident Response - User App""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Keevue for Zoom""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Im Fine""","[""health-care"",""health-wellness""]","""Product Usage""",,,
"""INCITE""","[""learning-development""]","""Product Usage""",,,
"""TTM Connect""","[""eventmanagement""]","""Product Usage""",,,
"""Onsite.fun Events for Remote-First Companies""","[""human-resources""]","""Product Usage""",,,
"""Dashly""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""FranDesQ""","[""crm""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""BlueCallom Deep""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Hirebee.ai""","[""crm""]","""Product Usage""",,,
"""SkillsHunt Interviews""","[""scheduling-calendar""]","""Product Usage""",,,
"""eArcu""","[""human-resources""]","""Content""","""Product Usage""",,
"""Hadathcom""","[""eventmanagement""]",,,,
"""BoodsKapper""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""airsubs""","[""eventmanagement""]","""Registration Information""","""Content""","""Product Usage""",
"""Hancom Mail""","[""productivity""]","""Product Usage""",,,
"""Ment""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Dental Widget""","[""eventmanagement""]","""Product Usage""",,,
"""Bitpod Event""","[""education"",""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""connectee""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
